Unsaved Data Changed: 10/21/2020 12:02:45 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:08:20 PM, Old:1, New:0
Hold Temperature Changed: 10/21/2020 12:15:11 PM, Old:10, New:15
Unsaved Data Changed: 10/21/2020 12:17:33 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:23:26 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:36:04 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:40:04 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 12:41:41 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 12:41:41 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 12:41:41 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 12:41:42 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 12:41:42 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 12:41:48 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 12:41:51 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 12:41:57 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 12:42:01 PM, Old:15, New:20
Unsaved Data Changed: 10/21/2020 12:59:32 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:07:35 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 1:13:43 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:18:00 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 1:20:10 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 1:20:10 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 1:20:10 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:20:12 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:20:12 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:20:21 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:20:23 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 1:20:32 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 1:20:36 PM, Old:20, New:25
Unsaved Data Changed: 10/21/2020 1:27:56 PM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 1:36:30 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 1:36:30 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 1:36:30 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:36:31 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:36:31 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:36:38 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:36:40 PM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 1:39:19 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 1:42:46 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:46:49 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 1:48:19 PM, Old:1, New:0
COM Port Number Changed: 10/21/2020 1:48:19 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:48:20 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:48:20 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:48:28 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:48:30 PM, Old:0, New:-6
End Method Modifications

Cell 2 - 2.5e-3,
Cell 2 - 2.5e-3
Collection Time: 10/21/2020 1:52:32 PM
Operator Name  :
ADL Shell Version 5.0.0.1002
Method Log     :
Method Name    : C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Date/Time stamp: 10/21/2020 9:07:55 AM
Method Modifications:
COM Port Number Changed: 10/21/2020 8:37:59 AM, Old:Off, New:-1
COM Port Number Changed: 10/21/2020 8:38:00 AM, Old:-1, New:
Connected to Controller Changed: 10/21/2020 8:38:07 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:38:09 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 8:38:18 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:38:18 AM, Old:, New:1111
Sample ID 2 Changed: 10/21/2020 8:38:18 AM, Old:, New:2222
Sample ID 3 Changed: 10/21/2020 8:38:18 AM, Old:, New:3333
Sample ID 4 Changed: 10/21/2020 8:38:18 AM, Old:, New:4444
Sample ID 5 Changed: 10/21/2020 8:38:18 AM, Old:, New:5555
Sample ID 6 Changed: 10/21/2020 8:38:18 AM, Old:, New:6666
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:None, New:Abs Only
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:Abs Only, New:None
Parameter Setup First Time Changed: 10/21/2020 8:38:18 AM, Old:1, New:0
Method Changed: 10/21/2020 8:38:24 AM, Old:Ramp T, New:2
Method Changed: 10/21/2020 8:38:24 AM, Old:2, New:Hold T
Hold Temperature Changed: 10/21/2020 8:38:31 AM, Old:37, New:4
Time Interval Changed: 10/21/2020 8:38:32 AM, Old:0.2, New:0.3
Maximum Time Changed: 10/21/2020 8:38:34 AM, Old:60, New:5
Equilibration Time Changed: 10/21/2020 8:38:36 AM, Old:    10.00, New:     0.00
Unsaved Data Changed: 10/21/2020 8:38:42 AM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 8:42:02 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 8:42:02 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 8:42:02 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 8:42:03 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 8:42:03 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 8:42:11 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:42:13 AM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 8:42:23 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:42:27 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:47:38 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:47:43 AM, Old:0, New:1
Cary Online Changed: 10/21/2020 8:50:56 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:51:00 AM, Old:1111, New:5e-3
Sample ID 2 Changed: 10/21/2020 8:51:02 AM, Old:2222, New:2.5e-3
Sample ID 3 Changed: 10/21/2020 8:51:05 AM, Old:3333, New:1.25e-3
Sample ID 4 Changed: 10/21/2020 8:51:08 AM, Old:4444, New:6.25e-4
Sample ID 5 Changed: 10/21/2020 8:51:11 AM, Old:5555, New:3.125e-4
Sample ID 6 Changed: 10/21/2020 8:51:28 AM, Old:6666, New:1.561e-4
Equilibration Time Changed: 10/21/2020 8:51:30 AM, Old:     0.00, New:     1.00
Stirrer Speed Changed: 10/21/2020 8:51:35 AM, Old:0, New:1200
Unsaved Data Changed: 10/21/2020 8:52:16 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:53:44 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:59:45 AM, Old:1, New:0
Saved as C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Opened C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Hold Temperature Changed: 10/21/2020 10:26:11 AM, Old:4, New:10
Connected to Controller Changed: 10/21/2020 10:26:25 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 10:26:25 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 10:26:25 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 10:26:26 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 10:26:26 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 10:26:33 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 10:26:35 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 10:26:41 AM, Old:-1, New:1
Unsaved Data Changed: 10/21/2020 10:33:43 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 10:39:35 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:02:45 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:08:20 PM, Old:1, New:0
Hold Temperature Changed: 10/21/2020 12:15:11 PM, Old:10, New:15
Unsaved Data Changed: 10/21/2020 12:17:33 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:23:26 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:36:04 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:40:04 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 12:41:41 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 12:41:41 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 12:41:41 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 12:41:42 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 12:41:42 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 12:41:48 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 12:41:51 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 12:41:57 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 12:42:01 PM, Old:15, New:20
Unsaved Data Changed: 10/21/2020 12:59:32 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:07:35 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 1:13:43 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:18:00 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 1:20:10 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 1:20:10 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 1:20:10 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:20:12 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:20:12 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:20:21 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:20:23 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 1:20:32 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 1:20:36 PM, Old:20, New:25
Unsaved Data Changed: 10/21/2020 1:27:56 PM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 1:36:30 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 1:36:30 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 1:36:30 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:36:31 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:36:31 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:36:38 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:36:40 PM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 1:39:19 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 1:42:46 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:46:49 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 1:48:19 PM, Old:1, New:0
COM Port Number Changed: 10/21/2020 1:48:19 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:48:20 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:48:20 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:48:28 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:48:30 PM, Old:0, New:-6
End Method Modifications

Cell 3 - 1.25e-3,
Cell 3 - 1.25e-3
Collection Time: 10/21/2020 1:52:32 PM
Operator Name  :
ADL Shell Version 5.0.0.1002
Method Log     :
Method Name    : C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Date/Time stamp: 10/21/2020 9:07:55 AM
Method Modifications:
COM Port Number Changed: 10/21/2020 8:37:59 AM, Old:Off, New:-1
COM Port Number Changed: 10/21/2020 8:38:00 AM, Old:-1, New:
Connected to Controller Changed: 10/21/2020 8:38:07 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:38:09 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 8:38:18 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:38:18 AM, Old:, New:1111
Sample ID 2 Changed: 10/21/2020 8:38:18 AM, Old:, New:2222
Sample ID 3 Changed: 10/21/2020 8:38:18 AM, Old:, New:3333
Sample ID 4 Changed: 10/21/2020 8:38:18 AM, Old:, New:4444
Sample ID 5 Changed: 10/21/2020 8:38:18 AM, Old:, New:5555
Sample ID 6 Changed: 10/21/2020 8:38:18 AM, Old:, New:6666
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:None, New:Abs Only
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:Abs Only, New:None
Parameter Setup First Time Changed: 10/21/2020 8:38:18 AM, Old:1, New:0
Method Changed: 10/21/2020 8:38:24 AM, Old:Ramp T, New:2
Method Changed: 10/21/2020 8:38:24 AM, Old:2, New:Hold T
Hold Temperature Changed: 10/21/2020 8:38:31 AM, Old:37, New:4
Time Interval Changed: 10/21/2020 8:38:32 AM, Old:0.2, New:0.3
Maximum Time Changed: 10/21/2020 8:38:34 AM, Old:60, New:5
Equilibration Time Changed: 10/21/2020 8:38:36 AM, Old:    10.00, New:     0.00
Unsaved Data Changed: 10/21/2020 8:38:42 AM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 8:42:02 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 8:42:02 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 8:42:02 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 8:42:03 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 8:42:03 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 8:42:11 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:42:13 AM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 8:42:23 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:42:27 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:47:38 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:47:43 AM, Old:0, New:1
Cary Online Changed: 10/21/2020 8:50:56 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:51:00 AM, Old:1111, New:5e-3
Sample ID 2 Changed: 10/21/2020 8:51:02 AM, Old:2222, New:2.5e-3
Sample ID 3 Changed: 10/21/2020 8:51:05 AM, Old:3333, New:1.25e-3
Sample ID 4 Changed: 10/21/2020 8:51:08 AM, Old:4444, New:6.25e-4
Sample ID 5 Changed: 10/21/2020 8:51:11 AM, Old:5555, New:3.125e-4
Sample ID 6 Changed: 10/21/2020 8:51:28 AM, Old:6666, New:1.561e-4
Equilibration Time Changed: 10/21/2020 8:51:30 AM, Old:     0.00, New:     1.00
Stirrer Speed Changed: 10/21/2020 8:51:35 AM, Old:0, New:1200
Unsaved Data Changed: 10/21/2020 8:52:16 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:53:44 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:59:45 AM, Old:1, New:0
Saved as C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Opened C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Hold Temperature Changed: 10/21/2020 10:26:11 AM, Old:4, New:10
Connected to Controller Changed: 10/21/2020 10:26:25 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 10:26:25 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 10:26:25 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 10:26:26 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 10:26:26 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 10:26:33 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 10:26:35 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 10:26:41 AM, Old:-1, New:1
Unsaved Data Changed: 10/21/2020 10:33:43 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 10:39:35 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:02:45 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:08:20 PM, Old:1, New:0
Hold Temperature Changed: 10/21/2020 12:15:11 PM, Old:10, New:15
Unsaved Data Changed: 10/21/2020 12:17:33 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:23:26 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:36:04 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:40:04 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 12:41:41 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 12:41:41 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 12:41:41 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 12:41:42 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 12:41:42 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 12:41:48 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 12:41:51 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 12:41:57 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 12:42:01 PM, Old:15, New:20
Unsaved Data Changed: 10/21/2020 12:59:32 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:07:35 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 1:13:43 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:18:00 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 1:20:10 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 1:20:10 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 1:20:10 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:20:12 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:20:12 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:20:21 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:20:23 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 1:20:32 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 1:20:36 PM, Old:20, New:25
Unsaved Data Changed: 10/21/2020 1:27:56 PM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 1:36:30 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 1:36:30 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 1:36:30 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:36:31 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:36:31 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:36:38 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:36:40 PM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 1:39:19 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 1:42:46 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 1:46:49 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 1:48:19 PM, Old:1, New:0
COM Port Number Changed: 10/21/2020 1:48:19 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 1:48:20 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 1:48:20 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 1:48:28 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 1:48:30 PM, Old:0, New:-6
End Method Modifications

Cell 4 - 6.25e-4,
Cell 4 - 6.25e-4
Collection Time: 10/21/2020 1:52:32 PM
Operator Name  :
ADL Shell Version 5.0.0.1002
Method Log     :
Method Name    : C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Date/Time stamp: 10/21/2020 9:07:55 AM
Method Modifications:
COM Port Number Changed: 10/21/2020 8:37:59 AM, Old:Off, New:-1
COM Port Number Changed: 10/21/2020 8:38:00 AM, Old:-1, New:
Connected to Controller Changed: 10/21/2020 8:38:07 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:38:09 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 8:38:18 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:38:18 AM, Old:, New:1111
Sample ID 2 Changed: 10/21/2020 8:38:18 AM, Old:, New:2222
Sample ID 3 Changed: 10/21/2020 8:38:18 AM, Old:, New:3333
Sample ID 4 Changed: 10/21/2020 8:38:18 AM, Old:, New:4444
Sample ID 5 Changed: 10/21/2020 8:38:18 AM, Old:, New:5555
Sample ID 6 Changed: 10/21/2020 8:38:18 AM, Old:, New:6666
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:None, New:Abs Only
